TIME,VALUE
12/26/2011,0.038
12/27/2011,0.107
12/28/2011,0.155
12/29/2011,0.051
12/30/2011,0.034
12/31/2011,0.092
01/01/2012,0.074
01/02/2012,0.073
01/03/2012,0.052
01/04/2012,0.019
01/05/2012,0.094
01/06/2012,0.094
01/07/2012,0.029
01/08/2012,0.07
01/09/2012,0.119
01/10/2012,0.195
01/11/2012,0.063
01/12/2012,0.096
01/13/2012,0.165
01/14/2012,0.15
01/15/2012,0.095
01/16/2012,0.077
01/17/2012,0.09
01/18/2012,0.116
01/19/2012,0.239
01/20/2012,0.207
01/21/2012,0.146
01/22/2012,0.094
01/23/2012,0.175
01/24/2012,0.154
01/25/2012,0.142
01/26/2012,0.209
01/27/2012,0.166
01/28/2012,0.112
01/29/2012,0.13
01/30/2012,0.114
01/31/2012,0.141
02/01/2012,0.124
02/02/2012,0.08
02/03/2012,0.161
02/04/2012,0.207
02/05/2012,0.158
02/06/2012,0.158
02/07/2012,0.071
02/08/2012,0.09
02/09/2012,0.107
02/10/2012,0.149
02/11/2012,0.214
02/12/2012,0.147
02/13/2012,0.147
02/14/2012,0.211
02/15/2012,0.104
02/16/2012,0.097
02/17/2012,0.067
02/18/2012,0.071
02/19/2012,0.192
02/20/2012,0.199
02/21/2012,0.117
02/22/2012,0.086
02/23/2012,0.14
02/24/2012,0.098
02/25/2012,0.059
02/26/2012,0.066
02/27/2012,0.08
02/28/2012,0.101
02/29/2012,0.059
03/01/2012,0.052
03/02/2012,0.032
03/03/2012,0.018
03/04/2012,0.027
03/05/2012,0.038
03/06/2012,0.03
03/07/2012,0.025
03/08/2012,0.029
03/09/2012,0.013
03/10/2012,0.03
03/11/2012,0.005
03/12/2012,0.053
03/13/2012,0.068
03/14/2012,0.07
03/15/2012,0.016
03/16/2012,0.028
03/17/2012,
03/18/2012,0.02
03/19/2012,0.039
03/20/2012,0.012
03/21/2012,0.034
03/22/2012,0.044
03/23/2012,0.016
03/24/2012,0.009
03/25/2012,0.013
03/26/2012,0.046
03/27/2012,0.077
03/28/2012,0.023
03/29/2012,0.028
03/30/2012,0.013
03/31/2012,0.008
04/01/2012,0.008
04/02/2012,0.018
04/03/2012,0.024
04/04/2012,0.021
04/05/2012,0.006
04/06/2012,0.014
04/07/2012,0.025
04/08/2012,0.019
04/09/2012,0.019
04/10/2012,0.019
04/15/2012,0.051
04/16/2012,0.028
04/17/2012,0.052
04/18/2012,0.033
04/19/2012,0.049
04/20/2012,0.028
04/21/2012,0.011
04/22/2012,0.014
04/23/2012,0.017
04/24/2012,0.019
04/25/2012,0.011
04/26/2012,0.015
04/27/2012,0.04
04/28/2012,0.014
04/29/2012,0.06
04/30/2012,0.012
05/01/2012,0.021
05/02/2012,0.017
05/03/2012,0.03
05/04/2012,0.042
05/08/2012,0.034
05/09/2012,0.014
05/10/2012,0.017
05/11/2012,0.053
05/12/2012,0.017
05/13/2012,0.039
05/14/2012,0.018
05/15/2012,0.02
05/16/2012,0.011
05/17/2012,0.027
